time,ecg
0.0,-0.0127
0.0028,0.0104
0.0056,-0.0066
0.0083,-0.0004
0.0111,0.0039
0.0139,0.0008
0.0167,0.0017
0.0194,-0.0037
0.0222,-0.0015
0.025,-0.0014
0.0278,0.012
0.0306,0.0152
0.0333,0.0032
0.0361,0.0165
0.0389,0.0078
0.0417,-0.0061
0.0444,-0.012
0.0472,-0.0093
0.05,0.0048
0.0528,-0.008
0.0556,0.0086
0.0583,0.0041
0.0611,0.0091
0.0639,0.0017
0.0667,-0.0026
0.0694,0.0018
0.0722,-0.0118
0.075,-0.0022
0.0778,-0.0068
0.0806,0.0034
0.0833,0.0021
0.0861,0.0
0.0889,0.0095
0.0917,0.0151
0.0944,0.0342
0.0972,0.0301
0.1,0.0368
0.1028,0.0245
0.1056,0.0431
0.1083,0.0494
0.1111,0.0527
0.1139,0.0396
0.1167,0.0741
0.1194,0.0684
0.1222,0.0674
0.125,0.0403
0.1278,0.0729
0.1306,0.0754
0.1333,0.0698
0.1361,0.078
0.1389,0.0916
0.1417,0.0799
0.1444,0.0887
0.1472,0.0833
0.15,0.0857
0.1528,0.0744
0.1556,0.0844
0.1583,0.0723
0.1611,0.0622
0.1639,0.0705
0.1667,0.0907
0.1694,0.0967
0.1722,0.0752
0.175,0.0679
0.1778,0.07
0.1806,0.0514
0.1833,0.0455
0.1861,0.0281
0.1889,0.063
0.1917,0.0436
0.1944,0.0532
0.1972,0.0376
0.2,0.0369
0.2028,0.0388
0.2056,0.038
0.2083,0.0152
0.2111,0.0043
0.2139,0.0076
0.2167,0.0102
0.2194,-0.0141
0.2222,0.0053
0.225,-0.0038
0.2278,-0.003
0.2306,0.0138
0.2333,-0.0019
0.2361,0.0327
0.2389,0.0129
0.2417,-0.0127
0.2444,-0.0156
0.2472,-0.0057
0.25,-0.0101
0.2528,-0.0027
0.2556,-0.0082
0.2583,-0.0003
0.2611,0.0011
0.2639,0.0144
0.2667,0.0094
0.2694,0.0059
0.2722,0.0105
0.275,0.0035
0.2778,-0.0225
0.2806,-0.0393
0.2833,-0.0313
0.2861,-0.0425
0.2889,-0.0394
0.2917,-0.0392
0.2944,-0.018
0.2972,0.056
0.3,0.1681
0.3028,0.2859
0.3056,0.3861
0.3083,0.4866
0.3111,0.5577
0.3139,0.6517
0.3167,0.7062
0.3194,0.7675
0.3222,0.7815
0.325,0.7899
0.3278,0.7874
0.3306,0.7679
0.3333,0.7413
0.3361,0.6947
0.3389,0.6037
0.3417,0.525
0.3444,0.4514
0.3472,0.3324
0.35,0.2032
0.3528,0.0927
0.3556,-0.0022
0.3583,-0.0325
0.3611,-0.0546
0.3639,-0.0759
0.3667,-0.0804
0.3694,-0.1212
0.3722,-0.1225
0.375,-0.1297
0.3778,-0.1227
0.3806,-0.1101
0.3833,-0.109
0.3861,-0.0636
0.3889,-0.0536
0.3917,-0.0195
0.3944,0.0175
0.3972,0.0046
0.4,-0.0129
0.4028,-0.0136
0.4056,-0.0017
0.4083,0.0021
0.4111,0.0122
0.4139,0.0146
0.4167,0.0051
0.4194,0.0099
0.4222,-0.0029
0.425,0.0075
0.4278,0.0108
0.4306,0.0006
0.4333,-0.0041
0.4361,0.0083
0.4389,-0.0121
0.4417,-0.0087
0.4444,-0.0015
0.4472,-0.0028
0.45,-0.0001
0.4528,-0.0213
0.4556,0.0062
0.4583,-0.0002
0.4611,0.0069
0.4639,-0.0011
0.4667,0.0083
0.4694,-0.0131
0.4722,0.0069
0.475,-0.0036
0.4778,-0.0069
0.4806,0.0072
0.4833,-0.0016
0.4861,0.0052
0.4889,-0.004
0.4917,-0.0116
0.4944,-0.0071
0.4972,0.0069
0.5,0.0206
0.5028,0.0171
0.5056,0.0404
0.5083,0.037
0.5111,0.0483
0.5139,0.0374
0.5167,0.0605
0.5194,0.0694
0.5222,0.0742
0.525,0.0825
0.5278,0.0808
0.5306,0.0886
0.5333,0.0998
0.5361,0.1101
0.5389,0.1018
0.5417,0.1097
0.5444,0.0936
0.5472,0.1188
0.55,0.1061
0.5528,0.1285
0.5556,0.1288
0.5583,0.1292
0.5611,0.1229
0.5639,0.1138
0.5667,0.1412
0.5694,0.1177
0.5722,0.1491
0.575,0.1328
0.5778,0.1564
0.5806,0.1465
0.5833,0.1372
0.5861,0.1547
0.5889,0.1507
0.5917,0.1393
0.5944,0.1537
0.5972,0.1629
0.6,0.1406
0.6028,0.1471
0.6056,0.1635
0.6083,0.1484
0.6111,0.148
0.6139,0.1353
0.6167,0.1212
0.6194,0.1286
0.6222,0.1418
0.625,0.1539
0.6278,0.1425
0.6306,0.1155
0.6333,0.1336
0.6361,0.1083
0.6389,0.0896
0.6417,0.0979
0.6444,0.1012
0.6472,0.0979
0.65,0.1076
0.6528,0.0868
0.6556,0.0806
0.6583,0.1012
0.6611,0.0681
0.6639,0.0569
0.6667,0.0658
0.6694,0.0698
0.6722,0.03
0.675,0.0258
0.6778,0.0434
0.6806,0.0263
0.6833,0.0213
0.6861,0.035
0.6889,0.0232
0.6917,0.0088
0.6944,-0.0006
0.6972,0.0138
0.7,0.0032
0.7028,0.0063
0.7056,0.0159
0.7083,0.0049
0.7111,0.0047
0.7139,0.0109
0.7167,0.0025
0.7194,-0.002
0.7222,-0.006
0.725,0.0187
0.7278,0.0026
0.7306,0.0091
0.7333,-0.0076
0.7361,0.0048
0.7389,0.0047
0.7417,-0.0013
0.7444,0.0111
0.7472,-0.0013
0.75,0.0025
0.7528,0.0092
0.7556,-0.0051
0.7583,-0.0034
0.7611,0.0019
0.7639,-0.0017
0.7667,-0.0064
0.7694,-0.004
0.7722,-0.0066
0.775,-0.0064
0.7778,0.0071
0.7806,-0.0232
0.7833,-0.01
0.7861,0.0027
0.7889,-0.0027
0.7917,0.0072
0.7944,0.0135
0.7972,0.002
0.8,0.0024
0.8028,0.0043
0.8056,-0.0104
0.8083,-0.009
0.8111,-0.0034
0.8139,-0.0107
0.8167,0.0022
0.8194,-0.0112
0.8222,0.0288
0.825,-0.0116
0.8278,0.0109
0.8306,0.0067
0.8333,-0.0084
0.8361,0.0012
0.8389,0.0069
0.8417,-0.0082
0.8444,0.0012
0.8472,-0.0049
0.85,0.0109
0.8528,0.0023
0.8556,-0.0078
