time,ecg
215.0000,-0.1585
215.2500,0.0733
215.5000,0.0439
215.7500,-0.0090
216.0000,0.1135
216.2500,-0.0790
216.5000,0.0853
216.7500,0.0522
217.0000,0.0030
217.2500,0.1514
217.5000,-0.0283
217.7500,-0.0249
218.0000,0.2775
218.2500,-0.0406
218.5000,0.0314
218.7500,0.3721
219.0000,0.0475
219.2500,-0.0450
219.5000,0.3851
219.7500,-0.0557
220.0000,-0.0260
220.2500,0.3044
220.5000,0.0100
220.7500,0.0121
221.0000,0.1972
221.2500,-0.0678
221.5000,0.0723
221.7500,0.0281
222.0000,-0.0187
222.2500,-0.0005
222.5000,0.0712
222.7500,0.6836
223.0000,0.0415
223.2500,0.0934
223.5000,0.8946
223.7500,0.1336
224.0000,-0.0119
224.2500,0.2044
224.5000,0.1075
224.7500,0.0466
225.0000,0.0080
225.2500,0.1121
225.5000,0.0323
225.7500,0.2257
226.0000,0.1030
226.2500,0.0067
226.5000,0.0516
226.7500,0.0382
227.0000,0.0094
227.2500,-0.1633
227.5000,0.9765
227.7500,0.0049
228.0000,-0.0349
228.2500,0.0375
228.5000,-0.0076
228.7500,0.1630
229.0000,0.1370
229.2500,0.0063
229.5000,-0.0058
229.7500,0.7067
230.0000,0.1100
230.2500,0.0512
230.5000,0.0823
230.7500,-0.0711
231.0000,0.0392
231.2500,-0.0248
231.5000,-0.0222
231.7500,-0.0071
232.0000,-0.0318
232.2500,1.0177
232.5000,0.1327
232.7500,0.0549
233.0000,-0.0263
233.2500,-0.0965
233.5000,-0.0034
233.7500,0.3052
234.0000,0.3301
234.2500,-0.0387
234.5000,-0.0305
234.7500,0.1537
235.0000,-0.1557
235.2500,0.1484
235.5000,0.1354
235.7500,0.0063
236.0000,0.0130
236.2500,0.0286
236.5000,0.0332
236.7500,0.1146
237.0000,0.0251
237.2500,0.0454
237.5000,-0.0028
237.7500,0.2778
238.0000,0.2451
238.2500,0.0309
238.5000,0.2453
238.7500,-0.0219
239.0000,0.1302
239.2500,-0.0070
239.5000,-0.0361
239.7500,0.2516
240.0000,-0.0064
240.2500,-0.0175
240.5000,0.0510
240.7500,0.1157
241.0000,0.0836
241.2500,0.2392
241.5000,-0.0286
241.7500,0.2545
242.0000,0.3502
242.2500,-0.0234
242.5000,-0.0946
242.7500,-0.0725
243.0000,0.0034
243.2500,1.0024
243.5000,0.0242
243.7500,-0.0787
244.0000,0.0384
244.2500,0.0565
244.5000,0.0326
244.7500,-0.0219
245.0000,0.3726
245.2500,0.1096
245.5000,0.0193
245.7500,-0.0089
246.0000,0.2090
246.2500,0.0131
246.5000,-0.0270
246.7500,-0.0352
247.0000,-0.0605
247.2500,0.3233
247.5000,0.8783
247.7500,0.0219
248.0000,-0.0766
248.2500,0.2430
248.5000,0.0827
248.7500,0.0266
249.0000,-0.0279
249.2500,0.2621
249.5000,-0.0154
249.7500,-0.0350
250.0000,0.0819
250.2500,0.1173
250.5000,0.0067
250.7500,0.3979
251.0000,0.3784
251.2500,0.0071
251.5000,0.0621
251.7500,0.1353
252.0000,0.0231
252.2500,0.8726
252.5000,0.0180
252.7500,-0.1961
253.0000,0.3324
253.2500,0.0645
253.5000,0.1462
253.7500,-0.0455
254.0000,0.0018
254.2500,0.0566
254.5000,0.1587
254.7500,0.0654
255.0000,-0.0064
255.2500,0.0718
255.5000,-0.0933
255.7500,0.0870
256.0000,0.3355
256.2500,0.0366
256.5000,0.0021
256.7500,0.3242
257.0000,0.3024
257.2500,-0.0024
257.5000,-0.0369
257.7500,0.5442
258.0000,-0.0363
258.2500,0.0180
258.5000,-0.0466
258.7500,-0.0661
259.0000,0.3045
259.2500,0.0253
259.5000,0.0502
259.7500,0.5246
260.0000,0.0257
260.2500,0.0273
260.5000,0.3514
260.7500,-0.0338
261.0000,-0.0455
261.2500,0.0461
261.5000,-0.0177
261.7500,0.1039
262.0000,0.0829
262.2500,-0.0053
262.5000,0.0319
262.7500,0.1469
263.0000,0.0213
263.2500,0.3658
263.5000,0.1051
263.7500,0.0329
264.0000,0.0268
264.2500,0.0280
264.5000,0.0480
264.7500,0.2315
265.0000,0.3303
265.2500,0.0044
265.5000,-0.0339
265.7500,0.0151
266.0000,0.0563
266.2500,0.1984
266.5000,0.0436
266.7500,-0.0020
267.0000,-0.1160
267.2500,0.2279
267.5000,-0.1177
267.7500,-0.0014
268.0000,0.0511
268.2500,0.0991
268.5000,0.0562
268.7500,0.9305
269.0000,0.0380
269.2500,0.9289
269.5000,-0.0290
269.7500,0.1926
270.0000,0.0149
270.2500,0.0746
270.5000,0.7304
270.7500,0.0931
271.0000,0.0129
271.2500,-0.0152
271.5000,0.7281
271.7500,0.0325
272.0000,0.0575
272.2500,-0.0340
272.5000,0.0607
272.7500,0.1153
273.0000,-0.0832
273.2500,0.2746
273.5000,0.0068
273.7500,0.0180
274.0000,0.0227
274.2500,0.0953
274.5000,0.3536
274.7500,0.0050
275.0000,0.0853
275.2500,0.0027
275.5000,-0.0406
275.7500,0.0387
276.0000,0.0246
276.2500,-0.1384
276.5000,0.0670
276.7500,0.1096
277.0000,-0.0245
277.2500,0.0523
277.5000,0.1581
277.7500,-0.0213
278.0000,0.0263
278.2500,0.0463
278.5000,0.1626
278.7500,0.6750
279.0000,-0.1051
279.2500,0.0385
279.5000,-0.0339
279.7500,0.2360
280.0000,-0.0271
280.2500,0.2591
280.5000,-0.0394
280.7500,0.0735
281.0000,0.1881
281.2500,0.0122
281.5000,0.0293
281.7500,0.0380
282.0000,0.0143
282.2500,0.1169
282.5000,0.1080
282.7500,0.9641
283.0000,-0.0760
283.2500,0.3314
283.5000,0.3629
283.7500,0.0143
284.0000,0.0430
284.2500,0.1639
284.5000,0.2674
284.7500,-0.0354
285.0000,0.0709
285.2500,-0.0153
285.5000,-0.0109
285.7500,-0.0502
286.0000,0.0308
286.2500,0.6951
