time,ecg
0.0,-0.007
0.25,0.0904
0.5,-0.0156
0.75,0.0187
1.0,0.0598
1.25,0.1084
1.5,-0.0162
1.75,-0.0174
2.0,0.1346
2.25,0.1555
2.5,0.0022
2.75,0.0013
3.0,0.1243
3.25,-0.0831
3.5,-0.0111
3.75,0.0089
4.0,0.0712
4.25,-0.0041
4.5,0.1577
4.75,0.0571
5.0,0.1366
5.25,-0.0078
5.5,0.1426
5.75,-0.0287
6.0,0.0217
6.25,0.0574
6.5,0.0588
6.75,-0.0074
7.0,0.036
7.25,-0.0034
7.5,-0.0041
7.75,-0.0032
8.0,0.0059
8.25,-0.0133
8.5,0.4245
8.75,-0.0017
9.0,-0.0221
9.25,0.0069
9.5,-0.0248
9.75,0.1198
10.0,-0.0222
10.25,0.0017
10.5,0.0197
10.75,0.0012
11.0,-0.0109
11.25,-0.0093
11.5,-0.0369
11.75,-0.0095
12.0,0.1247
12.25,0.6905
12.5,-0.0057
12.75,-0.0174
13.0,0.0062
13.25,0.0526
13.5,0.069
13.75,-0.1176
14.0,-0.0598
14.25,-0.1386
14.5,-0.0077
14.75,0.0693
15.0,-0.0111
15.25,0.1068
15.5,-0.0113
15.75,0.1139
16.0,0.024
16.25,0.0708
16.5,0.1403
16.75,0.0006
17.0,-0.0513
17.25,0.0274
17.5,0.0008
17.75,-0.0123
18.0,-0.0053
18.25,0.0068
18.5,0.0029
18.75,0.0028
19.0,0.0035
19.25,0.0017
19.5,-0.0148
19.75,-0.0024
20.0,0.0006
20.25,-0.0176
20.5,0.0313
20.75,0.0329
21.0,0.0151
21.25,0.7804
21.5,0.0136
21.75,0.0068
22.0,0.1547
22.25,0.1344
22.5,0.0544
22.75,0.0193
23.0,0.0212
23.25,0.0755
23.5,-0.0061
23.75,0.0728
24.0,-0.0096
24.25,0.2841
24.5,-0.0014
24.75,-0.0069
25.0,0.0058
25.25,0.0113
25.5,-0.0021
25.75,0.005
26.0,0.0206
26.25,0.0413
26.5,0.1446
26.75,-0.0168
27.0,0.119
27.25,-0.0084
27.5,-0.1287
27.75,0.0027
28.0,0.0106
28.25,-0.0002
28.5,0.1426
28.75,0.0193
29.0,-0.0005
29.25,0.1417
29.5,-0.0094
29.75,0.0776
30.0,-0.0209
30.25,0.0764
30.5,0.083
30.75,0.711
31.0,0.025
31.25,0.0602
31.5,-0.0118
31.75,-0.0203
32.0,-0.0028
32.25,-0.0012
32.5,0.2884
32.75,-0.0111
33.0,0.1504
