time,ecg
0.0,0.0007
0.25,0.0292
0.5,-0.011
0.75,0.0095
1.0,-0.0138
1.25,0.0401
1.5,0.0383
1.75,-0.0142
2.0,0.1528
2.25,-0.0045
2.5,-0.0086
2.75,0.003
3.0,0.001
3.25,0.0438
3.5,0.1491
3.75,-0.0009
4.0,0.0613
4.25,0.0193
4.5,-0.0063
4.75,-0.005
5.0,0.0084
5.25,0.1467
5.5,0.0251
5.75,-0.0161
6.0,0.0129
6.25,0.0236
6.5,0.3641
6.75,-0.0052
7.0,0.0025
7.25,0.0132
7.5,-0.0215
7.75,-0.0186
8.0,0.0094
8.25,0.0733
8.5,-0.0056
8.75,0.025
9.0,-0.0019
9.25,0.0002
9.5,0.8027
9.75,-0.0146
10.0,0.0213
10.25,-0.0079
10.5,-0.0082
10.75,0.0277
11.0,0.1166
11.25,-0.0044
11.5,0.7968
11.75,0.0727
12.0,0.0121
12.25,0.0044
12.5,0.1516
12.75,-0.0039
13.0,0.0012
13.25,0.0089
13.5,-0.0028
13.75,0.0087
14.0,-0.0213
14.25,0.0305
14.5,0.0076
14.75,-0.0129
15.0,-0.0204
15.25,-0.0141
15.5,0.0008
15.75,0.0341
16.0,0.0716
16.25,0.064
16.5,0.0459
16.75,0.0959
17.0,0.0107
17.25,-0.0042
17.5,0.0047
17.75,0.0787
18.0,-0.049
18.25,0.0436
18.5,0.0116
18.75,0.0803
19.0,-0.0266
19.25,0.1553
19.5,-0.0153
19.75,0.0951
20.0,0.0324
20.25,0.0877
20.5,0.036
20.75,0.1432
21.0,0.1257
21.25,0.0933
21.5,0.1349
21.75,0.7313
22.0,0.7533
22.25,0.0428
22.5,-0.0002
22.75,0.0719
23.0,0.017
23.25,-0.0038
23.5,-0.1319
23.75,0.1482
24.0,-0.0068
24.25,0.0975
24.5,0.0109
24.75,0.015
25.0,0.0021
25.25,0.0768
25.5,0.0187
25.75,-0.0274
26.0,0.0179
26.25,0.0397
26.5,0.0196
26.75,-0.0067
27.0,0.0447
27.25,0.0875
27.5,-0.0095
27.75,-0.0208
28.0,0.0008
28.25,0.0044
28.5,0.0052
28.75,0.1133
29.0,0.7798
29.25,0.4927
29.5,0.0244
29.75,-0.0054
30.0,0.0516
30.25,-0.0107
30.5,-0.0008
30.75,0.0224
31.0,-0.0098
31.25,0.0643
31.5,0.0968
31.75,-0.0096
32.0,0.102
32.25,0.0939
32.5,-0.0164
32.75,0.0245
33.0,-0.0188
33.25,0.0218
33.5,0.0728
33.75,0.0121
34.0,-0.0038
34.25,0.0075
34.5,0.1329
34.75,0.0753
35.0,0.0142
35.25,0.0064
35.5,0.0344
35.75,-0.0949
36.0,0.0297
36.25,0.0008
36.5,-0.0147
36.75,0.002
37.0,0.0002
37.25,0.0067
37.5,0.0457
37.75,0.0136
38.0,0.0422
38.25,-0.01
38.5,-0.022
38.75,0.0717
39.0,0.0521
39.25,-0.0174
39.5,0.0426
39.75,0.0119
40.0,0.7867
40.25,0.1261
40.5,0.0049
40.75,0.1596
41.0,0.0233
41.25,0.0136
41.5,0.0004
41.75,0.0657
42.0,0.0166
42.25,-0.0094
42.5,0.0064
42.75,-0.0118
43.0,0.121
43.25,-0.0041
43.5,0.1619
43.75,0.0221
44.0,0.3585
44.25,-0.0089
44.5,-0.0164
44.75,-0.0013
45.0,-0.0057
45.25,0.0024
45.5,0.0662
45.75,-0.0111
46.0,0.0926
46.25,0.1091
46.5,-0.004
46.75,0.0228
47.0,0.006
47.25,0.004
47.5,0.0106
47.75,-0.0147
48.0,-0.0055
48.25,0.0098
48.5,-0.0081
48.75,0.0208
49.0,0.0526
49.25,0.1146
49.5,0.0985
49.75,-0.008
50.0,0.0018
50.25,-0.0227
50.5,0.0096
50.75,-0.0031
51.0,0.0571
51.25,0.0131
51.5,-0.0059
51.75,0.1472
52.0,0.0044
52.25,0.0379
52.5,-0.0109
52.75,0.013
53.0,-0.0035
53.25,0.0047
53.5,0.0527
53.75,0.0411
54.0,0.011
54.25,-0.0085
54.5,0.0113
54.75,-0.0077
55.0,0.0586
55.25,0.0838
55.5,-0.0052
55.75,-0.1283
56.0,0.0703
56.25,0.5441
56.5,-0.0416
56.75,-0.0131
57.0,-0.0031
57.25,0.0417
57.5,0.6835
57.75,-0.0107
58.0,0.0088
58.25,-0.0086
58.5,0.0495
58.75,-0.0116
59.0,0.7962
59.25,0.0807
59.5,0.01
59.75,0.0233
60.0,0.0103
60.25,0.0097
60.5,0.1401
60.75,0.1329
61.0,0.0082
61.25,0.0972
61.5,0.0256
61.75,0.0475
62.0,0.0969
62.25,0.0354
62.5,0.0047
62.75,-0.0018
63.0,0.0132
63.25,0.0719
63.5,0.0157
63.75,0.0031
64.0,-0.0012
64.25,-0.0154
64.5,0.0701
64.75,0.3638
65.0,0.0832
65.25,0.0028
65.5,0.0668
65.75,0.02
66.0,0.0139
66.25,0.5287
66.5,-0.0088
66.75,0.0103
67.0,0.031
67.25,0.0078
67.5,0.0231
67.75,0.0272
68.0,0.0606
68.25,0.0877
68.5,-0.0013
68.75,0.1118
69.0,0.0625
69.25,0.0041
69.5,0.0037
69.75,-0.0037
70.0,0.0257
70.25,0.0047
70.5,0.1376
70.75,0.0511
71.0,0.7883
71.25,0.0812
71.5,-0.005
71.75,0.0551
72.0,0.0132
72.25,-0.0145
72.5,-0.0036
72.75,-0.0145
73.0,0.0399
73.25,0.0878
73.5,-0.0251
73.75,0.0162
74.0,0.1319
74.25,0.0233
74.5,-0.0031
74.75,0.7812
75.0,0.0214
75.25,-0.0533
75.5,0.0069
75.75,0.009
76.0,0.0414
76.25,-0.012
76.5,0.134
76.75,0.0083
77.0,0.0025
77.25,-0.1024
77.5,0.5223
77.75,0.0351
78.0,0.0175
78.25,-0.0994
78.5,0.1044
78.75,-0.0186
79.0,-0.0195
79.25,0.0785
79.5,0.0187
79.75,0.1461
80.0,0.1128
80.25,0.018
80.5,0.0125
80.75,0.0208
81.0,0.0206
81.25,0.0122
81.5,0.0242
81.75,0.1654
82.0,-0.005
82.25,0.001
82.5,-0.0007
82.75,0.0033
83.0,0.0174
83.25,0.1156
83.5,-0.0131
83.75,0.7883
84.0,0.0889
84.25,0.0446
84.5,-0.0156
84.75,0.1678
85.0,0.092
85.25,-0.0123
85.5,-0.0352
85.75,0.0044
86.0,0.0246
86.25,-0.0121
86.5,-0.0173
86.75,0.0035
87.0,0.0319
87.25,0.0539
87.5,-0.0062
87.75,-0.0047
88.0,0.0118
88.25,-0.0083
88.5,-0.0193
88.75,-0.0097
89.0,-0.0031
89.25,0.0358
89.5,-0.006
89.75,0.0204
90.0,0.0017
90.25,0.002
90.5,0.0385
90.75,0.1292
91.0,0.0398
91.25,0.0895
91.5,-0.0034
91.75,0.0533
92.0,-0.0054
92.25,0.031
92.5,0.0662
92.75,0.0411
93.0,0.0703
93.25,-0.0082
93.5,0.0594
93.75,-0.0098
94.0,0.0035
94.25,0.1215
94.5,0.1417
94.75,0.0185
95.0,0.0044
95.25,0.0056
95.5,0.0478
95.75,-0.0075
96.0,-0.0172
96.25,-0.0003
96.5,0.0005
96.75,0.0617
97.0,0.0401
97.25,-0.0234
97.5,0.0207
97.75,-0.0173
98.0,-0.017
98.25,0.0001
98.5,0.012
98.75,-0.0018
99.0,0.1265
99.25,0.0098
99.5,-0.0077
99.75,-0.0002
100.0,-0.1304
100.25,-0.0035
100.5,0.0138
100.75,-0.0039
101.0,0.0723
101.25,0.001
101.5,0.7739
101.75,-0.0372
102.0,0.1375
102.25,0.152
102.5,0.0137
102.75,-0.1272
103.0,-0.0016
103.25,0.0154
103.5,-0.0136
103.75,0.0041
104.0,0.081
104.25,-0.0175
104.5,-0.0004
104.75,0.0699
105.0,0.0263
105.25,0.0041
105.5,0.0637
105.75,0.0233
106.0,0.0824
106.25,0.1003
106.5,-0.0039
106.75,-0.0121
107.0,0.1485
107.25,-0.0033
107.5,0.1147
107.75,0.0636
108.0,0.1582
108.25,-0.0155
108.5,0.05
108.75,0.04
109.0,0.0128
109.25,0.0029
109.5,0.0049
109.75,-0.0008
110.0,0.1351
110.25,-0.0178
110.5,-0.1012
110.75,0.0129
111.0,-0.0084
111.25,0.1012
111.5,0.0565
111.75,0.001
112.0,0.0842
112.25,0.1331
112.5,0.0873
112.75,-0.033
113.0,0.0407
113.25,-0.1196
113.5,-0.0332
113.75,-0.0008
114.0,0.0066
114.25,-0.0023
114.5,0.0576
114.75,0.0924
115.0,-0.0013
115.25,-0.0082
115.5,-0.0206
115.75,-0.0014
116.0,0.0592
116.25,0.1503
116.5,0.6179
116.75,-0.0123
117.0,0.7928
117.25,0.1333
117.5,0.2664
117.75,-0.0012
118.0,0.0524
118.25,-0.0015
118.5,-0.0001
118.75,0.1114
119.0,0.0446
119.25,0.0115
119.5,0.0271
119.75,0.0105
120.0,0.0318
120.25,0.0615
120.5,-0.0028
120.75,0.0163
121.0,0.0677
121.25,0.0187
121.5,0.3723
121.75,-0.0189
122.0,-0.0089
122.25,0.1584
122.5,0.012
122.75,-0.0095
123.0,-0.014
123.25,0.0151
123.5,0.0018
123.75,-0.0052
124.0,-0.1069
124.25,-0.0091
124.5,0.0066
124.75,0.0887
125.0,-0.002
125.25,0.002
125.5,-0.0088
125.75,-0.0102
126.0,0.0053
126.25,0.0762
126.5,-0.048
126.75,-0.0213
127.0,0.052
127.25,-0.0045
127.5,-0.0068
127.75,-0.0061
128.0,0.004
128.25,-0.0223
128.5,0.3449
128.75,0.0688
129.0,0.0339
129.25,0.0984
129.5,0.0991
129.75,0.0009
130.0,0.1339
130.25,0.1098
130.5,0.012
130.75,0.0696
131.0,0.0282
131.25,-0.0011
131.5,-0.0062
131.75,0.0062
132.0,-0.0038
132.25,-0.009
132.5,0.8094
132.75,-0.0104
133.0,0.0802
133.25,-0.0029
