time,ecg
0.0,-0.008
0.0028,0.0284
0.0056,-0.0201
0.0083,0.0107
0.0111,0.0017
0.0139,-0.0025
0.0167,-0.0018
0.0194,0.0043
0.0222,0.0028
0.025,0.0059
0.0278,0.0055
0.0306,-0.0025
0.0333,-0.0096
0.0361,0.0025
0.0389,0.0066
0.0417,-0.0064
0.0444,-0.0125
0.0472,-0.0165
0.05,0.0063
0.0528,-0.0002
0.0556,-0.0095
0.0583,0.0135
0.0611,-0.0023
0.0639,-0.0012
0.0667,0.006
0.0694,0.0086
0.0722,-0.007
0.075,0.0073
0.0778,0.0047
0.0806,0.01
0.0833,-0.004
0.0861,-0.0155
0.0889,-0.0036
0.0917,0.0038
0.0944,-0.0051
0.0972,0.0128
0.1,0.0264
0.1028,0.0248
0.1056,0.034
0.1083,0.0104
0.1111,0.0352
0.1139,0.0328
0.1167,0.0553
0.1194,0.045
0.1222,0.0537
0.125,0.0583
0.1278,0.0553
0.1306,0.0729
0.1333,0.0494
0.1361,0.0791
0.1389,0.0689
0.1417,0.0635
0.1444,0.0757
0.1472,0.0751
0.15,0.0706
0.1528,0.064
0.1556,0.0672
0.1583,0.0795
0.1611,0.0932
0.1639,0.0775
0.1667,0.0735
0.1694,0.0679
0.1722,0.0746
0.175,0.0682
0.1778,0.0785
0.1806,0.0717
0.1833,0.0856
0.1861,0.0627
0.1889,0.0761
0.1917,0.0879
0.1944,0.0841
0.1972,0.0593
0.2,0.0586
0.2028,0.0505
0.2056,0.0617
0.2083,0.0527
0.2111,0.0544
0.2139,0.0605
0.2167,0.0391
0.2194,0.0447
0.2222,0.0387
0.225,0.0392
0.2278,0.0296
0.2306,0.0366
0.2333,0.0261
0.2361,0.0107
0.2389,-0.0004
0.2417,0.0021
0.2444,0.0179
0.2472,0.0025
0.25,0.0043
0.2528,-0.0021
0.2556,-0.0109
0.2583,-0.0074
0.2611,0.0194
0.2639,0.0066
0.2667,-0.0036
0.2694,-0.0245
0.2722,-0.0091
0.275,-0.0003
0.2778,-0.0042
0.2806,0.0045
0.2833,-0.0115
0.2861,-0.0137
0.2889,0.0195
0.2917,0.013
0.2944,-0.0049
0.2972,-0.0045
0.3,0.0162
0.3028,-0.0017
0.3056,-0.0051
0.3083,0.0013
0.3111,-0.0045
0.3139,0.0024
0.3167,-0.0015
0.3194,-0.0332
0.3222,-0.0321
0.325,-0.0269
0.3278,-0.0328
0.3306,-0.0423
0.3333,-0.0317
0.3361,-0.0187
0.3389,-0.012
0.3417,0.0786
0.3444,0.1961
0.3472,0.2688
0.35,0.3746
0.3528,0.48
0.3556,0.5491
0.3583,0.6209
0.3611,0.6794
0.3639,0.7263
0.3667,0.7711
0.3694,0.7942
0.3722,0.8004
0.375,0.7968
0.3778,0.7723
0.3806,0.7289
0.3833,0.7085
0.3861,0.6594
0.3889,0.5932
0.3917,0.535
0.3944,0.4576
0.3972,0.3466
0.4,0.2738
0.4028,0.1716
0.4056,0.0667
0.4083,-0.0068
0.4111,-0.0343
0.4139,-0.0476
0.4167,-0.0777
0.4194,-0.0783
0.4222,-0.1012
0.425,-0.1202
0.4278,-0.1179
0.4306,-0.1229
0.4333,-0.1183
0.4361,-0.1083
0.4389,-0.0938
0.4417,-0.077
0.4444,-0.0574
0.4472,-0.0425
0.45,-0.0126
0.4528,-0.0128
0.4556,-0.014
0.4583,0.0073
0.4611,0.0105
0.4639,0.011
0.4667,-0.0016
0.4694,0.0229
0.4722,0.0057
0.475,-0.0183
0.4778,-0.0099
0.4806,-0.0113
0.4833,0.0071
0.4861,0.0002
0.4889,0.002
0.4917,-0.017
0.4944,0.0036
0.4972,0.0225
0.5,-0.0065
0.5028,-0.0147
0.5056,0.0028
0.5083,-0.0182
0.5111,0.0172
0.5139,-0.0103
0.5167,0.003
0.5194,-0.0155
0.5222,0.0074
0.525,-0.01
0.5278,-0.0089
0.5306,0.0081
0.5333,-0.0361
0.5361,0.0062
0.5389,0.0029
0.5417,0.0091
0.5444,-0.0158
0.5472,-0.0086
0.55,-0.004
0.5528,-0.0018
0.5556,-0.0014
0.5583,0.0101
0.5611,0.0002
0.5639,-0.0025
0.5667,0.0065
0.5694,0.014
0.5722,0.016
0.575,0.0182
0.5778,0.033
0.5806,0.0294
0.5833,0.0325
0.5861,0.0513
0.5889,0.0442
0.5917,0.0512
0.5944,0.062
0.5972,0.0468
0.6,0.0769
0.6028,0.0628
0.6056,0.0756
0.6083,0.0892
0.6111,0.1078
0.6139,0.1062
0.6167,0.0935
0.6194,0.0949
0.6222,0.1266
0.625,0.1055
0.6278,0.1127
0.6306,0.1077
0.6333,0.115
0.6361,0.1442
0.6389,0.1285
0.6417,0.1317
0.6444,0.1349
0.6472,0.1336
0.65,0.1539
0.6528,0.141
0.6556,0.1397
0.6583,0.136
0.6611,0.1401
0.6639,0.1558
0.6667,0.1508
0.6694,0.1599
0.6722,0.1462
0.675,0.1525
0.6778,0.1655
0.6806,0.1555
0.6833,0.1447
0.6861,0.155
0.6889,0.1468
0.6917,0.1504
0.6944,0.1371
0.6972,0.1308
0.7,0.1554
0.7028,0.1254
0.7056,0.1506
0.7083,0.1376
0.7111,0.1298
0.7139,0.1317
0.7167,0.1537
0.7194,0.141
0.7222,0.1126
0.725,0.1128
0.7278,0.1235
0.7306,0.1133
0.7333,0.1151
0.7361,0.0988
0.7389,0.1093
0.7417,0.0864
0.7444,0.0823
0.7472,0.0879
0.75,0.0869
0.7528,0.0789
0.7556,0.0768
0.7583,0.0579
0.7611,0.044
0.7639,0.0585
0.7667,0.0538
0.7694,0.0508
0.7722,0.0387
0.775,0.0311
0.7778,0.0374
0.7806,0.034
0.7833,0.0165
0.7861,-0.007
0.7889,0.0139
0.7917,-0.0028
0.7944,-0.0075
0.7972,0.0095
0.8,-0.0028
0.8028,0.0048
0.8056,0.0059
0.8083,0.0045
0.8111,0.0198
0.8139,-0.0274
0.8167,-0.0055
